city,population,vc,vcPC,vcRank,murder,murderPC,murderRank,rape,rapePC,rapeRank,rapetwo,rapetwoPC,rapetwoRank,robbery,robberPC,robberyRank,agassault,agassaultPC,agassaultRank,pc,pcPC,pcRank,burglary,burglaryPC,burglaryRank,larceny,larcenyPC,larcenyRank,mvtheft,mvtheftPC,mvtheftRank,arson,arsonPC,arsonRank
Aberdeen,16100,96,596,7,1,6,15,10,62,30,,0,98,29,180,7,56,348,12,874,5429,23,257,1596,4,557,3460,36,60,373,46,2,12,78
Airway Heights,6652,6,90,131,0,0,113,0,0,154,,0,98,6,90,37,0,0,171,353,5307,29,65,977,32,263,3954,24,25,376,44,0,0,145
Algona,3158,2,63,150,0,0,113,2,63,27,,0,98,0,0,158,0,0,171,71,2248,112,15,475,106,49,1552,114,7,222,81,0,0,145
Anacortes,16351,13,80,139,0,0,113,3,18,93,,0,98,2,12,118,8,49,130,509,3113,78,84,514,96,403,2465,72,22,135,126,2,12,80
Arlington,19018,33,174,81,0,0,113,3,16,99,,0,98,8,42,73,22,116,71,877,4611,45,97,510,98,694,3649,33,86,452,33,0,0,145
Asotin,1299,2,154,89,0,0,113,0,0,154,,0,98,0,0,158,2,154,55,22,1694,143,0,0,182,22,1694,108,0,0,179,0,0,145
Auburn,77914,318,408,23,7,9,10,31,40,62,,0,98,92,118,22,188,241,33,4235,5435,22,952,1222,15,2659,3413,37,624,801,11,38,49,11
Bainbridge Island,23351,10,43,157,0,0,113,1,4,123,,0,98,1,4,129,8,34,140,317,1358,155,57,244,154,254,1088,143,6,26,167,3,13,75
Battle Ground,19239,32,166,84,1,5,20,7,36,66,,0,98,3,16,112,21,109,77,429,2230,115,52,270,150,346,1798,100,31,161,106,5,26,37
Bellevue,138532,152,110,121,2,1,38,19,14,108,,0,98,61,44,67,70,51,128,4331,3126,77,789,570,83,3321,2397,76,221,160,108,22,16,59
Bellingham,83976,214,255,52,1,1,39,47,56,38,,0,98,45,54,59,121,144,58,4067,4843,39,543,647,75,3362,4004,21,162,193,89,1,1,105
Bingen,721,2,277,43,0,0,113,0,0,154,,0,98,0,0,158,2,277,22,11,1526,149,1,139,171,10,1387,123,0,0,179,0,0,145
